S-23C Google 8 36.364 S:15, I:1, D:17
S-23C Kaldi 8 30.682 S:17, I:3, D:8

S-23C Google 9 28.0 S:6, I:0, D:2
S-23C Kaldi 9 24.0 S:5, I:2, D:0

S-23C Google 10 60.417 S:13, I:0, D:17
S-23C Kaldi 10 27.083 S:13, I:0, D:1

S-23C Google 11 43.624 S:32, I:1, D:33
S-23C Kaldi 11 21.477 S:22, I:0, D:11

S-6B Google 0 53.846 S:40, I:1, D:37
S-6B Kaldi 0 41.958 S:44, I:3, D:14

S-6B Google 1 42.512 S:46, I:1, D:42
S-6B Kaldi 1 31.401 S:45, I:6, D:15

S-6B Google 2 30.556 S:48, I:1, D:40
S-6B Kaldi 2 14.931 S:25, I:2, D:17

S-6B Google 3 40.404 S:42, I:0, D:39
S-6B Kaldi 3 23.737 S:30, I:6, D:12

S-6B Google 4 27.804 S:64, I:3, D:53
S-6B Kaldi 4 17.523 S:49, I:9, D:18

S-6B Google 5 27.459 S:65, I:6, D:64
S-6B Kaldi 5 10.656 S:28, I:6, D:19

S-5A Google 0 53.07 S:104, I:1, D:138
S-5A Kaldi 0 35.526 S:111, I:14, D:38

S-5A Google 1 48.718 S:44, I:1, D:70
S-5A Kaldi 1 29.487 S:44, I:4, D:22

S-5A Google 2 43.888 S:138, I:6, D:155
S-5A Kaldi 2 29.013 S:115, I:20, D:63

S-5A Google 3 42.0 S:60, I:1, D:87
S-5A Kaldi 3 23.714 S:50, I:6, D:28

S-5A Google 4 40.979 S:56, I:1, D:78
S-5A Kaldi 4 22.324 S:44, I:4, D:26

S-5A Google 5 47.87 S:114, I:1, D:122
S-5A Kaldi 5 28.6 S:88, I:5, D:49

S-11C Google 0 26.904 S:18, I:2, D:34
S-11C Kaldi 0 16.244 S:23, I:3, D:7

S-11C Google 1 40.881 S:19, I:0, D:47
S-11C Kaldi 1 22.642 S:28, I:0, D:9

S-11C Google 2 25.936 S:55, I:0, D:43
S-11C Kaldi 2 17.914 S:42, I:5, D:21

S-11C Google 3 26.396 S:37, I:0, D:68
S-11C Kaldi 3 19.036 S:44, I:3, D:29

S-11C Google 4 22.552 S:74, I:1, D:55
S-11C Kaldi 4 9.965 S:33, I:2, D:23

S-11C Google 5 22.093 S:60, I:2, D:53
S-11C Kaldi 5 11.047 S:31, I:7, D:20

S-11C Google 6 27.962 S:33, I:1, D:26
S-11C Kaldi 6 19.431 S:26, I:4, D:12

S-11C Google 7 25.581 S:36, I:1, D:30
S-11C Kaldi 7 12.016 S:19, I:0, D:13

S-11C Google 8 24.762 S:13, I:1, D:13
S-11C Kaldi 8 17.143 S:10, I:5, D:4

S-16D Google 0 25.566 S:43, I:2, D:35
S-16D Kaldi 0 22.33 S:51, I:7, D:12

S-16D Google 1 21.739 S:45, I:1, D:65
S-16D Kaldi 1 18.775 S:61, I:8, D:27

S-16D Google 2 26.846 S:30, I:1, D:50
S-16D Kaldi 2 23.49 S:49, I:7, D:15

S-16D Google 3 21.053 S:45, I:2, D:58
S-16D Kaldi 3 15.789 S:48, I:12, D:19

S-16D Google 4 25.0 S:37, I:2, D:63
S-16D Kaldi 4 17.822 S:51, I:2, D:20

S-16D Google 5 24.08 S:27, I:1, D:45
S-16D Kaldi 5 22.408 S:51, I:7, D:10

S-16D Google 6 39.167 S:16, I:0, D:32
S-16D Kaldi 6 33.333 S:24, I:8, D:9

S-16D Google 7 29.31 S:6, I:1, D:11
S-16D Kaldi 7 25.862 S:15, I:1, D:0

S-16D Google 8 25.373 S:14, I:0, D:21
S-16D Kaldi 8 17.164 S:16, I:1, D:7

S-16D Google 9 40.625 S:2, I:0, D:12
S-16D Kaldi 9 37.5 S:12, I:0, D:1

S-16D Google 10 30.952 S:9, I:0, D:5
S-16D Kaldi 10 21.429 S:8, I:1, D:1

S-16D Google 11 20.988 S:4, I:0, D:14
S-16D Kaldi 11 20.988 S:11, I:6, D:1

S-16D Google 12 23.404 S:3, I:0, D:9
S-16D Kaldi 12 21.277 S:9, I:2, D:0

S-20D Google 0 50.579 S:61, I:0, D:71
S-20D Kaldi 0 38.61 S:61, I:7, D:33

S-20D Google 1 39.672 S:70, I:2, D:50
S-20D Kaldi 1 25.902 S:47, I:6, D:27

S-20D Google 2 45.752 S:57, I:0, D:84
S-20D Kaldi 2 30.719 S:66, I:3, D:26

S-20D Google 3 40.789 S:48, I:1, D:45
S-20D Kaldi 3 37.719 S:58, I:0, D:29

S-20D Google 4 35.852 S:145, I:7, D:110
S-20D Kaldi 4 28.022 S:144, I:19, D:42

S-20D Google 5 39.474 S:71, I:3, D:92
S-20D Kaldi 5 27.751 S:76, I:8, D:33

S-20D Google 6 72.222 S:4, I:0, D:23
S-20D Kaldi 6 69.444 S:20, I:1, D:5

S-20D Google 7 66.667 S:17, I:0, D:16
S-20D Kaldi 7 52.083 S:23, I:1, D:2

S-20D Google 8 40.909 S:6, I:0, D:4
S-20D Kaldi 8 27.273 S:4, I:0, D:3

S-20D Google 9 45.0 S:21, I:2, D:14
S-20D Kaldi 9 52.5 S:23, I:11, D:9

S-20D Google 10 50.0 S:32, I:0, D:20
S-20D Kaldi 10 44.118 S:35, I:4, D:7

S-20D Google 11 49.315 S:26, I:1, D:10
S-20D Kaldi 11 39.726 S:21, I:4, D:5

S-29A Google 0 29.508 S:29, I:1, D:43
S-29A Kaldi 0 15.164 S:23, I:2, D:13

S-29A Google 1 29.167 S:24, I:1, D:60
S-29A Kaldi 1 20.486 S:32, I:3, D:25

S-29A Google 2 39.59 S:19, I:0, D:98
S-29A Kaldi 2 16.724 S:22, I:0, D:28

S-29A Google 3 30.696 S:33, I:0, D:65
S-29A Kaldi 3 17.089 S:28, I:1, D:26

S-29A Google 4 31.853 S:40, I:6, D:120
S-29A Kaldi 4 17.761 S:41, I:13, D:39

S-29A Google 5 26.199 S:23, I:2, D:47
S-29A Kaldi 5 14.022 S:16, I:3, D:20

S-29A Google 6 27.027 S:0, I:0, D:11
S-29A Kaldi 6 16.216 S:3, I:0, D:4

S-29A Google 7 25.882 S:8, I:0, D:15
S-29A Kaldi 7 22.353 S:14, I:1, D:5

